Low velocity
1 planets at:
0 500
Trajectory:
184.914 226.327
184.964 226.681
185.014 227.036
185.063 227.391
185.112 227.746
185.16 228.102
185.209 228.458
185.257 228.814
185.305 229.171
185.353 229.528
185.4 229.885
185.447 230.243
185.494 230.602
185.541 230.96
185.587 231.319
185.633 231.679
185.679 232.039
185.724 232.399
185.77 232.76
185.815 233.121
185.859 233.482
185.904 233.844
185.948 234.206
185.992 234.569
186.036 234.932
186.079 235.295
186.122 235.659
186.165 236.023
186.207 236.387
186.25 236.752
186.292 237.118
186.333 237.483
186.375 237.849
186.416 238.216
186.457 238.583
186.497 238.95
186.538 239.318
186.578 239.686
186.618 240.054
186.657 240.423
186.696 240.792
186.735 241.162
186.774 241.532
186.812 241.903
186.85 242.273
186.888 242.645
186.925 243.016
186.962 243.388
186.999 243.761
187.036 244.134
187.072 244.507
187.108 244.881
187.144 245.255
187.179 245.629
187.214 246.004
187.249 246.379
187.284 246.755
187.318 247.131
187.352 247.508
187.385 247.884
187.419 248.262
187.452 248.639
187.484 249.018
187.517 249.396
187.549 249.775
187.58 250.154
187.612 250.534
187.643 250.914
187.674 251.295
187.705 251.676
187.735 252.057
187.765 252.439
187.794 252.821
187.824 253.204
187.853 253.587
187.881 253.97
187.91 254.354
187.938 254.738
187.965 255.123
187.993 255.508
188.02 255.894
188.047 256.28
188.073 256.666
188.099 257.053
188.125 257.44
188.15 257.828
188.175 258.216
188.2 258.604
188.225 258.993
188.249 259.382
188.273 259.772
188.296 260.162
188.319 260.553
188.342 260.944
188.365 261.335
188.387 261.727
188.409 262.119
188.43 262.512
188.451 262.905
188.472 263.299
188.493 263.693
188.513 264.087
188.532 264.482
188.552 264.877
188.571 265.273
188.59 265.669
188.608 266.066
188.626 266.463
188.644 266.86
188.661 267.258
188.678 267.656
188.695 268.055
188.711 268.454
188.727 268.853
188.743 269.253
188.758 269.654
188.773 270.055
188.788 270.456
