High velocity
1 planets at:
0 500
Trajectory:
44.6093 0.883301
44.6566 0.885177
44.704 0.887056
44.7513 0.888937
44.7987 0.89082
44.846 0.892704
44.8934 0.894591
44.9407 0.89648
44.9881 0.89837
45.0354 0.900263
45.0828 0.902157
45.1301 0.904054
45.1775 0.905952
45.2248 0.907853
45.2721 0.909756
45.3195 0.91166
45.3668 0.913566
45.4142 0.915475
45.4615 0.917385
45.5089 0.919298
45.5562 0.921212
45.6036 0.923129
45.6509 0.925047
45.6983 0.926967
45.7456 0.92889
45.793 0.930814
45.8403 0.93274
45.8877 0.934669
45.935 0.936599
45.9823 0.938531
46.0297 0.940465
46.077 0.942402
46.1244 0.94434
46.1717 0.94628
46.2191 0.948222
46.2664 0.950166
46.3138 0.952112
46.3611 0.95406
46.4084 0.956011
46.4558 0.957963
46.5031 0.959917
46.5505 0.961873
46.5978 0.963831
46.6452 0.965791
46.6925 0.967753
46.7399 0.969717
46.7872 0.971683
46.8345 0.973651
46.8819 0.975621
46.9292 0.977592
46.9766 0.979566
47.0239 0.981542
47.0712 0.98352
47.1186 0.9855
47.1659 0.987482
47.2133 0.989465
47.2606 0.991451
47.3079 0.993439
47.3553 0.995429
47.4026 0.99742
47.45 0.999414
47.4973 1.00141
47.5446 1.00341
47.592 1.00541
47.6393 1.00741
47.6867 1.00941
47.734 1.01142
47.7813 1.01343
47.8287 1.01543
47.876 1.01745
47.9233 1.01946
47.9707 1.02148
48.018 1.02349
48.0654 1.02551
48.1127 1.02753
48.16 1.02956
48.2074 1.03158
48.2547 1.03361
48.302 1.03564
48.3494 1.03767
48.3967 1.0397
48.444 1.04174
48.4914 1.04378
48.5387 1.04582
48.5861 1.04786
48.6334 1.0499
48.6807 1.05194
48.7281 1.05399
48.7754 1.05604
48.8227 1.05809
48.8701 1.06015
48.9174 1.0622
48.9647 1.06426
49.0121 1.06632
49.0594 1.06838
49.1067 1.07044
49.1541 1.07251
49.2014 1.07457
49.2487 1.07664
49.2961 1.07871
49.3434 1.08079
49.3907 1.08286
49.4381 1.08494
49.4854 1.08702
49.5327 1.0891
49.5801 1.09118
49.6274 1.09326
49.6747 1.09535
49.722 1.09744
49.7694 1.09953
49.8167 1.10162
49.864 1.10372
49.9114 1.10581
49.9587 1.10791
50.006 1.11001
50.0533 1.11212
50.1007 1.11422
50.148 1.11633
50.1953 1.11844
50.2427 1.12055
50.29 1.12266
50.3373 1.12477
50.3846 1.12689
50.432 1.12901
50.4793 1.13113
50.5266 1.13325
50.574 1.13538
50.6213 1.1375
50.6686 1.13963
50.7159 1.14176
50.7633 1.14389
50.8106 1.14603
50.8579 1.14816
50.9052 1.1503
50.9526 1.15244
50.9999 1.15458
51.0472 1.15673
51.0945 1.15887
51.1419 1.16102
51.1892 1.16317
51.2365 1.16532
51.2838 1.16748
51.3312 1.16963
51.3785 1.17179
51.4258 1.17395
51.4731 1.17611
51.5204 1.17828
51.5678 1.18044
51.6151 1.18261
51.6624 1.18478
51.7097 1.18695
51.757 1.18913
51.8044 1.1913
51.8517 1.19348
51.899 1.19566
51.9463 1.19784
51.9937 1.20003
52.041 1.20221
52.0883 1.2044
52.1356 1.20659
52.1829 1.20878
